issue_id,severity,area,file_path,line_or_page,evidence,why_it_matters,recommended_repair,scope,confidence
EPUB-01,MEDIUM,EPUB,Last/Final edits/final/,N/A,"3 EPUB files present: CurlsAndContemplation-FINAL.epub, -V2-FINAL.epub, -V3-FINAL.epub","Risk of uploading wrong version","Keep only V3 in final/; archive V1/V2",final-output,High
EPUB-02,MANUAL REVIEW,Navigation,Last/Final edits/OEBPS/nav.xhtml + several XHTML,N/A,"NAV labels diverge from XHTML <title> for 6 entries: 20-chapter-x, 28-Conclusion, 30-SelfAssessment, 31-affirmations-close, 6-AffirmationOdyssey, 35-JournalingStart","Reader sees different titles in TOC vs page header","Reconcile titles in both NAV and <title>",both,High
EPUB-03,MANUAL REVIEW,EPUB,Last/Final edits/final/CurlsAndContemplation-V3-FINAL.epub,N/A,"EPUBCheck not available in sandbox","Some validation rules cannot be verified by hand-rolled scripts","Run external EPUBCheck 4.2.6+",final-output,High
PDF-01,BLOCKER,PDF,Last/Final edits/final/CurlsAndContemplation-KDP-ROYAL-FINAL.pdf,N/A,"45 FontDescriptor objects, 42 carry /FontFile*; 3 may be unembedded","KDP and most POD vendors reject PDFs with non-embedded fonts","Run pdffonts to identify; regenerate via WeasyPrint or embed all in Chromium",final-output,Medium
PDF-02,HIGH,PDF,Last/Final edits/final/,N/A,"4 PDFs with page counts 348/579/581/587","Wrong file may be uploaded","Pick canonical PDF, archive the rest",final-output,High
PDF-03,MEDIUM,PDF,Last/Final edits/final/CurlsAndContemplation-KDP-ROYAL-FINAL.pdf,N/A,"No /TrimBox, no /BleedBox","Some POD vendors expect explicit boxes","Confirm vendor; add TrimBox via Acrobat or use WeasyPrint output",final-output,High
PDF-04,MEDIUM,PDF,Last/Final edits/final/*.pdf,N/A,"No /MarkInfo Marked true, no /StructTreeRoot","Untagged PDFs are not accessibility-compliant","Tag in Acrobat or regenerate with WeasyPrint pdf/ua-1 if accessible PDF required",final-output,High
PDF-05,MANUAL REVIEW,PDF,Last/Final edits/final/*.pdf,N/A,"Page counts differ across PDFs by hundreds of pages","Author/publisher must declare canonical interior","Decide; document",final-output,High
PDF-06,MANUAL REVIEW,Visual,Last/Final edits/final/*.pdf,All pages,"Cannot render in sandbox","Print PDFs must be visually proofed","Open in Acrobat; complete checklist 06",final-output,High
PDF-07,MANUAL REVIEW,PDF,Last/Final edits/final/*.pdf,N/A,"qpdf not available; Preflight not run","XRef / object-stream consistency unverified","Run qpdf --check, Acrobat Preflight, or PitStop",final-output,High
SRC-01,MANUAL REVIEW,Text Integrity,"Last/Final edits/OEBPS/xhtml/{20-chapter-x-crafting-enduring-legacies,28-Conclusion,30-SelfAssessment,31-affirmations-close,6-AffirmationOdyssey,35-JournalingStart}.xhtml + Last/Final edits/OEBPS/nav.xhtml + Last/Final edits/OEBPS/toc.ncx",head/title,"NAV/NCX label diverges from XHTML <title> in 6 sections (Chapter X, Conclusion, 30-SelfAssessment, 31-affirmations-close, 6-AffirmationOdyssey, 35-JournalingStart). E.g. Chapter X: NAV='Crafting Enduring Legacies' vs <title>='Sustaining Excellence and Building Your Legacy'","Reader sees different titles in TOC vs page header","Decide canonical title for each section; align both NAV/NCX label and XHTML <title>",source,High
SRC-02,MANUAL REVIEW,Font,Last/Final edits/OEBPS/fonts/,N/A,"6 WOFF2 fonts; OFL.txt files not present in repo","Licensing documentation may be required for commercial release","Add OFL.txt for Libre Baskerville, Cinzel Decorative, Montserrat to project",source,Low
SRC-03,MANUAL REVIEW,Image,Last/Final edits/OEBPS/images/cover.png,N/A,"Pixel dimensions unverified (no Pillow/ImageMagick in sandbox)","KDP requires cover ≥1600x2560 px","Verify with identify or Pillow",source,Medium
